canonical_smiles,active,maccsfp,morganfp
Cl.Cl.Cn1c(=O)c2c(ncn2CCCN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n(C)c1=O,1.0,0000000000000000000000000000000000001100010000000000000000000000100000000010101100101110100110111101101011100110100011011100101110100101110001111011110011110111111111,1100000000000001000000000000000001000000000000000000000000000000000000000010000010000000001000000000000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000010000000000001000000100000000000000000000000000000000000000000100000000000001000000000000000010000000000000000000000000110000000001000010000000000000000000001000000010000000000000100000000000000010001000000010010000000000000000000000001010010000000000000000000000000000000000000000001000000000100000000000000000000000000000000000000000000000001000000000100000000000000000000000000001000000000000000000000000000000000000000000100010010000000000000000001000000000000000000000000001000000000000000000000000001000000000000000000000000000000000000000010001000000000000000000000000000000001000000000000000000000000100000000000000000001000000000000000000000000000000000000010000000000000000100000000000000000000010000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,1.0,0000000000000000000000000000000000000000000000000000000000000000010000000110000000001100000000001101000000000011000001001100111110010000110010101011100111101111111110,0100000000000000000000000000000001100000000000000000000000000000100000000000000010001000000000000000000000000000001000010100000000000000000001000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000100000000000001000000000000000000000000010000000000000010000100000000000000000000000000010011000000000000000000000000000000000100000000000000000000000000001010000000000000000000000100000000000000000000000000000000000000000000000000100000001000000000000000010000000000000000000000000000000000001000000000000000000000000000000000000000000000010000000010010000000000000001000100000000000000000000010000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000000000000000000000001000000000001000000000000000000000000000001000000000000000000000000000000000000010000010000000010000010000000000000000010000000010000000000000000000000010000000000000000000000000000000000000000000000000000000000010100
Cn1c(=O)c2c(ncn2CCCN2CCC(C(c3ccccc3)c3ccccc3)CC2)n(C)c1=O.O=C(O)/C=C/C(=O)O,1.0,0000000000000000000000000000000000001100000000000000000000000000100000000010101100101100100110111111100011000110100011011110101110100001111101111111110011111111111111,1100000000000000000000000000000101000000000000000000000000000000100000000000000010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000100010000000000000000000000000000000000000000010000000000001001000000000000000000000000000000000000000000000100000000001000000100000000000010000000010000000000000000010000000001000010000000000000000000001000000000110000000000100000000000000010001000000010010000000000000000000000001010000000000000000000000000000000000000000000001000100000000000000000000000000000000000000000000000010000001000000000100000000000000000001000000000000000000000000000000000000000000000000000000010010000000000000000101000000000000000000000100000000000000000000000000000001000000000000000000000000000000000000000010001000000000000000000000000000000001001000000000000000000000000000000000000000001000000000000000000000000000000000000010000010000000000000000000000000000000010000010010000000000000000001000000000000000000000100000000000000000000000000000000000000000010000
[N-]=[N+]=Nc1cccc(CCN2CCN(c3cccc(C(F)(F)F)c3)CC2)c1,1.0,0000000000000000000000000000000000000000010000001001000000000100000001000010101000001100000001000101000001100011000001111101100111001110110001001011000010110100111010,0000000000000101000000000100000000000000001000000000000000000010100000000010000010000000000000000000000010000000001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000011000000000000000010000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000000000010000000000000000010001000000000000000000000000001010000000000000000000000000100100000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000001000000000000000000000000000000000000011000100000000010000000000000000000000000010000001000000000000000000000000011000000010000100000000000000010000000000000000001000000000000000000000000010000000000000000000000000000100000000000000000000010000000010010000000000000000000000000000000000000000000000000000001000000000000000000000000000000
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,1.0,0000000000000000000000001000000000000000000000000000000000000100110000000010101100001100100100010101000011000111000011011100001110011011110001101011010011110110111110,0000100000000000000000000000000000001000000000000000000000000000100000000010000010000000000000000000000000000000000001000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000010010000000000000000000001000000000000000000000000000010000000000000000000010000000000000000010100000001010100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000010000000000000000000000100000010000010010000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000010000000000000000100000000000001000000000000000000000000001000000000000000010000001000000000000000000000000000000000000010000010000000000000000000000000000000010000000010000100000000000000000000000000000000000000000000000000000000000000000000000000001000000
COc1ccccc1N1CCN(CCCCN2C(=O)CC3(CCCC3)CC2=O)CC1,1.0,0000000000000000000000000000000000000000000000000000000000000100010000000010001000001100100110110101000010000111100011011100011110011011110001111111010111111111111110,0000100000000000000000000000000001001000000000000000000000000000100000000010000010000000000000000000000000000000000001000100000000000000001000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000100000000000000000000000000000000000000000010000000000000000000000000000000000000010010000000000000000000000000000010000000000000000000010000000000000000000000000000000000000010000000001010000000000000000000000000100000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000010000000010000000000000100000000000010010000000000000000000000000000000000000000010000000000000000000000000100001000000000000000000000000000000000000000010000000000001000100000000000001000000000000000000000000000000000000000000100000001000000000000000000000000000000000000010000010000000000000000000001000000000010000000010000100000100000000000000000000000000000000000000000000000000000000000000000000001000000
CC(CCCN1C(=O)CC2(CCCC2)CC1=O)N1CCN(c2ccc(F)cc2)CC1,1.0,0000000000000000000000000000000000000000010000000000000000000100010000000010001000001110100100010101000010110111001111011100001110011111110001101011010011110111111110,0100100000000000000000000000000001001000000000000000000000000000000000000000000010000000001000000000000000000000000001001100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000001000000000000000000000000000000000100000000000000000000000000000010000000000000000000000000000000000000010010000000000000000000000001000010000000000000000000010000000000000000000000000000000000000010000000001000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000001000000000000001000000000010000000000000000000000100000000100010000000000000000000000000000000000001000000000001000000000000000000000100001000000000000100000000000000000000000000000000000000000000100000000000001001000000000000000000000000000000000000000000000001000000000010000000000000000000000000010000000000000000100000000000000000000010000000010000100000000000000000000000000000000000000000000000000000000000000000000000000001000000
Nc1ccc(CCN2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1I,1.0,0000000000000000000000000010000000000000010000000000000000000100000000000010001000011110000000000101000001100011000001011100100110001110110001011011011010110100111010,0000000000000001000000000100000000000000000000000000000000000000100000000010000010000000000000000000000010000000001000000100000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000011000000000000000010000000000000100000000000000000000000000000000000000000010000000000000000100000000000000000000000000000000000000000000010000000000000000000000000001000000001000000000000010000000000000000000001000100000000000000000000001010000000000000000000000000100000000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000001000000000000000000000000000000000000001000100000000000000000000000000000000000010000001000000000000010000000000001000000010000000000000000000000000000000000000001000000000000000000000000010000000000000000000000000000100000100000000000000010000001010000000000010000000000000000000000000000000000000000000001000000000000000000000000000000
O=C1CC2(CCCC2)CC(=O)N1CCC(O)CN1CCN(c2ccc(F)cc2)CC1,1.0,0000000000000000000000000000000000000000010000000000000000000100010000000010001000001110111100111101000110100111000011011100001110011111111001101111010111111110111110,0100100000000000000000000000000000001000000000000000000000000000000000000010000010000000001000000000000000000000000001000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000010010000000000000000000000001000010000000000000000000010000000000000000000000000000000000000000000000001000000001000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000010000000000000000000000100000000100010000000000000000000000000000000000001000000000101000100000000000000000100001000000000000100000000000000000000000000010000000000000000100000000000001001000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000100100100000000000000000000010000000010000100000000000000000000000000000000000000000000000000000000000000000000000001001000000
CC(CCCN1C(=O)CC(C)(C)CC1=O)N1CCN(c2ncc(F)cn2)CC1,1.0,0000000000000000000000001000000000000000010000000000000000000100110000000110101100001110100100000101000001110111001111011100001110011111110011101011110011110111111110,0100000000000000010000000000000001001000000000000000000000000000000010000000000010000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000001100000000100000000000000000100000100000000000000000000000000000010000000000000000000000000000000000000010010000000000000000000001000000000000000000000000000010000000000000000000010000000000000000010000000001000000100000000000000000000100000000000000000000000000100000000000000000000000000000000000110000000000000000000000000000000000000001000000000000001000000000000000000000000000000000000000010100010000000000000000000000000000000000000000000000001000000000000000000000000000000000000000100000000000000000000000000000000000000000000100000000000001000000000000000000000000001000000000000000000000001000000000010000000000000000000000000010000000000000000100000000000000000000010000000010000100000000000000000000000000001000000000000000000000000000000000000000000000000000000
